ID_REF	VALUE
7892501	5.394261751
7892502	4.921378772
7892503	4.716126926
7892504	9.331464845
7892505	2.51458221
7892506	4.823652002
7892507	2.71455013
7892508	5.856622002999999
7892509	10.90396798
7892510	5.456769997
7892511	3.8336436910000002
7892512	7.345996276
7892513	3.85758717
7892514	10.17762319
7892515	8.264186813
7892516	6.649024297
7892517	5.865898112999999
7892518	2.697287652
7892519	6.067593757000001
7892520	9.357564457
7892521	6.770280239
7892522	5.511803096
7892524	6.92901402
7892525	7.252186101
7892526	7.48951907
7892527	10.26848102
7892528	2.057873005
7892529	6.47904868
7892530	12.25040286
7892531	7.625805945
7892532	3.07425374
7892533	6.782306482999999
7892534	4.674025116
7892535	6.411517851
7892537	4.133562523
7892538	5.963151436
7892539	4.0844279619999995
7892540	5.776463594
7892541	9.413369388
7892542	8.517254818
7892543	6.214648127999999
7892544	5.470324654
7892545	5.206572949
7892547	4.064461162
7892548	6.818841691
7892549	7.146363441
7892550	8.548192795
7892551	10.5878615
7892552	6.060930174
7892553	6.8485703010000005
7892554	3.547724712
7892555	7.094820319
7892556	13.21960279
7892557	2.622143922
7892558	4.006632542
7892559	6.740124961
7892560	5.607526159
7892561	8.911343116
7892562	8.730742483
7892563	7.217177571000001
7892564	9.485691812
7892565	6.44435904
7892566	3.524873245
7892567	5.401569889
7892568	10.24325983
7892569	7.398408275
7892570	8.462785618
7892571	2.347104121
7892572	5.822441969
7892573	5.184223607
7892574	10.76033368
7892575	7.243347469
7892576	5.35649339
7892577	2.794455468
7892578	3.40248597
7892579	10.25347547
7892580	2.8060055210000003
7892581	3.9653781460000004
7892582	2.428647573
7892583	4.515036244
7892584	5.540830825
7892585	4.127251997
7892586	2.717555388
7892587	5.2542421930000005
7892588	2.2820857000000005
7892589	6.473982547
7892590	3.10116257
7892591	3.005918499
7892592	4.3945582519999995
7892593	3.28877133
7892594	3.627498035
7892595	3.908679727
7892596	4.005748402
7892597	5.2851538819999995
7892598	10.05726022
7892599	10.53313911
7892600	3.83637993
7892602	2.518755811
7892603	4.764823213000001
7892604	3.287722445
7892605	7.945808399
7892606	11.66293877
7892608	8.902383562
7892609	3.228727171
7892610	7.913353965
7892611	2.982647505
7892612	2.993919897
7892613	9.623349337999999
7892614	2.541277158
7892615	5.215524017
7892616	1.911839268
7892617	11.47739259
7892618	5.608577584
7892619	3.8596078069999997
7892620	10.01145056
7892621	12.11276979
7892622	10.36671966
7892623	9.350438097
7892624	3.928173035
7892625	6.032376465
7892626	3.099336759
7892627	7.600626835
7892628	10.38055941
7892629	4.346947982
7892630	9.929169302
7892631	3.522264864
7892632	5.12866132
7892633	7.336708327
7892634	8.964120928
7892635	8.805549421
7892636	8.371888051
7892637	7.586659654
7892638	3.0069415289999997
7892639	9.546807941
7892641	5.752321146
7892642	9.827540896
7892643	10.8573155
7892644	10.26437915
7892645	2.512328853
7892646	3.266616453
7892647	4.710272135
7892648	9.802378727
7892649	4.666172898999999
7892650	12.31097868
7892651	3.776299083
7892652	11.58013352
7892653	2.51458221
7892654	8.278575669
7892655	2.447320805
7892656	3.7904869339999996
7892657	3.0039201810000002
7892658	2.60445724
7892659	2.993919897
7892660	1.991628739
7892661	9.594551046
7892662	7.470358331
7892663	10.55467029
7892664	5.039547948
7892665	6.929505258
7892666	3.099336759
7892667	9.678685674
7892668	10.44914479
7892669	7.588603061000001
7892670	8.105303869
7892671	3.8357927739999997
7892672	4.822936797
7892673	5.908845621
7892674	8.117878798
7892675	5.6519170910000005
7892676	6.422850471
7892677	10.20590417
7892678	7.471672857000001
7892679	4.45270416
7892680	8.890177976
7892681	7.241147552
7892682	3.9360745689999996
7892683	4.729433236
7892684	8.544385098
7892685	5.100502988
7892686	7.389591359
7892687	6.01244348
7892688	8.796147453
7892689	4.859011746
7892690	4.400106973
7892691	2.54043283
7892692	8.003760407
7892693	8.073259942
7892694	6.940863804
7892695	4.677476844
7892696	7.040353783
7892697	6.364280531
7892699	8.699418561
7892700	4.735690696
7892701	10.12074579
7892702	7.711307887
7892703	7.169076077000001
7892704	11.69062285
7892705	5.655286639
7892706	6.770491804
7892707	9.982153432
7892708	5.958674911
7892709	3.6062667810000004
7892710	3.70559857
7892711	7.3210070720000004
7892712	7.832711716
7892713	9.245828974
7892714	3.68279597
7892715	3.357389149
7892716	6.192317387999999
7892717	5.695719348
7892718	3.005106123
7892719	9.202982763
7892720	9.517848243
7892721	9.460252295
7892722	2.038943057
7892723	2.944025429
7892724	6.153592507000001
7892725	4.082040675
7892726	5.140115392
7892727	5.831965749
7892728	3.37501066
7892729	5.882122032000001
7892730	3.68279597
7892731	5.864909292999999
7892732	6.165716337
7892733	5.0114688439999995
7892734	5.960418226
7892735	3.354066591
7892736	5.369019184
7892737	3.5732719339999996
7892738	7.001949209
7892739	5.718237775
7892740	4.244356903
7892741	5.682232783
7892742	9.817708946
7892743	2.208637453
7892744	4.74997742
7892745	9.407910581
7892746	2.622143922
7892747	8.222966339
7892748	9.721615933999999
7892749	4.818890781
7892750	4.127538016
7892751	8.021356242000001
7892752	4.0629772939999995
7892753	12.54799311
7892754	3.842936118
7892755	2.697287652
7892757	8.13884537
7892758	5.456346902000001
7892759	6.130618385
7892760	4.9046050160000005
7892761	5.333917424
7892762	10.92178512
7892763	6.49065947
7892764	9.072920753
7892765	9.312510758
7892766	9.889695543
7892767	4.455400787
7892768	3.072798554
7892769	2.356171713
7892770	10.03472239
7892771	9.017045107000001
7892772	5.216699477
7892773	6.625557278
7892774	4.824726092
7892775	5.1408933480000005
7892776	10.17583935
7892777	4.9063877819999995
7892778	8.133664533
7892779	2.88784417
7892780	4.664034318
7892781	6.617286568
7892782	11.70002355
7892783	8.988284675
7892784	4.213496707
7892785	4.568355414
7892786	9.726874664
7892787	4.081723771
7892788	9.423973328999999
7892789	4.90772305
7892790	2.7974580660000004
7892791	11.61959782
7892792	5.49710635
7892793	2.349277426
7892794	5.045219004
7892795	6.11317008
7892796	12.15628444
7892797	6.819848329
7892798	2.622143922
7892799	3.290393007
7892800	3.100278695
7892801	2.6210822
7892802	9.01402594
7892803	12.62626741
7892804	3.704244263
7892805	4.2674293930000005
7892806	5.238328189
7892807	3.44135212
7892808	8.726978012
7892809	2.443904653
7892810	4.199311128
7892811	2.614558382
7892812	6.155955743
7892813	4.39549032
7892814	11.33743478
7892816	9.731247506
7892817	12.84002187
7892818	2.700050675
7892819	6.6224261470000005
7892820	12.17280829
7892821	2.605582168
7892822	4.927318784
7892823	7.153342089
7892824	6.257025427
7892825	3.753686149
7892826	5.353426708
7892827	12.35670831
7892828	2.7177319389999997
7892829	11.88539717
7892830	10.95667377
7892831	10.63332237
7892832	7.738782961
7892833	2.5359272180000003
7892834	3.5269625369999997
7892835	11.49130891
7892836	10.21939422
7892837	9.745381385
7892838	10.31328639
7892839	2.1473173169999997
7892840	4.955747435
7892841	9.761353462
7892842	4.513203922
7892843	3.837086018
7892844	3.934013378
7892845	7.629125165
7892846	12.14710933
7892847	5.880605416
7892848	8.621575367
7892849	2.977808185
7892850	7.263074901
7892851	5.053297467
7892852	6.10899924
7892853	12.22469409
7892854	4.49437064
7892855	4.3949348839999995
7892856	6.529018906
7892857	11.26183462
7892858	3.490858442
7892859	6.87189416
7892860	5.721241315
7892861	10.76363617
7892862	9.686631873
7892863	7.302045465
7892864	5.43457056
7892865	10.42888818
7892866	2.5702921
7892867	4.725552054
7892868	12.36137119
7892869	7.118661435
7892870	7.761755185
7892871	8.134003514
7892872	4.62336334
7892873	5.901797072999999
7892874	3.705302971
7892875	5.402967956
7892876	6.421854472000001
7892877	4.378591144
7892878	6.273945782
7892879	7.569073626000001
7892880	9.632826005
7892881	4.204651707
7892882	10.49586311
7892883	6.111180052000001
7892884	10.43879121
7892885	4.569360577
7892886	5.402494034
7892887	3.778463515
7892888	4.725968363
7892889	11.88218363
7892890	9.682131937000001
7892891	11.79160184
7892892	3.5273769510000004
7892893	8.990510786
7892894	10.32834128
7892895	3.688164017
7892896	9.12928111
7892897	6.250832487
7892898	7.107570008
7892899	11.32841316
7892900	11.76221126
7892901	11.07482476
7892902	12.63348414
7892903	8.083668778
7892904	3.613452808
7892905	2.794455468
7892906	12.97326372
7892907	12.03561829
7892908	4.9588002719999995
7892909	6.855388871000001
7892910	5.847053941
7892911	7.289758772999999
7892912	4.877103388
7892913	5.128432264
7892914	3.6058441969999997
7892915	8.384155128
7892917	5.287035186000001
7892918	6.348079015
7892919	10.72794624
7892920	9.1247448
7892921	3.5491071180000002
7892922	3.7812794860000003
7892923	2.7086409889999996
7892924	10.86486397
7892925	9.11638081
7892926	8.754278728
7892927	3.0039201810000002
7892928	10.2602897
7892929	4.006072756
7892930	10.68461088
7892931	5.750328822999999
7892932	8.256467711
7892933	6.570971869
7892934	6.241784576000001
7892935	9.775812726
7892936	5.0193345460000005
7892937	7.823574215
7892938	7.7125177570000005
7892939	9.467651148
7892940	11.568645
7892941	12.24195968
7892942	4.463521105
7892944	8.790849618
7892945	3.683628345
7892946	5.287830593
7892947	9.816678135
7892948	10.3957413
7892949	3.775808922
7892950	3.891497785
7892951	8.145433211
7892952	7.607499636
7892953	9.227636124
7892954	10.91510084
7892955	9.794770143
7892956	10.73132582
7892957	6.176911829
7892958	4.495647319
7892959	7.1669478
7892960	8.774693767
7892961	9.115059624
7892962	5.102537612
7892963	3.101974937
7892964	4.397113141
7892965	2.605582168
7892966	10.71760725
7892967	8.948086519
7892968	7.618312552999999
7892969	11.12288246
7892970	2.692414162
7892972	9.349094125
7892973	6.874340836
7892974	4.71114144
7892975	2.8161712039999998
7892976	2.53963094
7892977	12.41709529
7892978	6.08082466
7892979	9.12235729
7892980	7.518069317999999
7892981	9.764219598
7892982	3.0360957410000005
7892983	11.65479445
7892984	4.007148526
7892985	4.913052438
7892986	11.39906675
7892987	11.83542374
7892988	2.847182519
7892989	5.449165904
7892990	6.841901136000001
7892991	8.781360735
7892992	11.82224976
7892993	9.9394018
7892994	2.519003211
7892995	2.109145996
7892996	8.325981916
7892997	3.228727171
7892998	7.261727433
7892999	5.398517772000001
7893000	6.819583182000001
7893001	9.539651064
7893002	10.97958958
7893003	5.087083413999999
7893004	7.36868955
7893005	3.40248597
7893006	5.436539623
7893007	7.09386876
7893008	5.175120608
7893009	3.6241980060000003
7893010	6.45783062
7893011	5.601332166000001
7893012	10.76205815
7893013	6.058132733
7893014	4.125664876
7893015	11.90827698
7893016	3.5244482319999997
7893017	5.185811762
7893018	4.421034191
7893019	5.090526109
7893021	4.567492816000001
7893022	4.710272135
7893023	10.0286959
7893024	3.467609215
7893025	8.1279864
7893027	5.890133137
7893028	7.336325826
7893029	10.56742944
7893030	6.653219858
7893031	9.45488289
7893032	6.7405988379999995
7893033	9.650613856
7893034	5.248157526
7893035	6.8485703010000005
7893036	7.727431929
7893037	5.504915583
7893038	3.83637993
7893039	9.840048083
7893040	6.359664419
7893041	2.447320805
7893042	9.638980625
7893043	5.400555838
7893044	2.624518154
7893045	3.266616453
7893046	5.131543359
7893047	5.8293632220000005
7893048	5.9395769110000005
7893049	5.645107589
7893050	11.925572500000001
7893051	5.941499391
7893052	4.620178501
7893053	3.1762878569999997
7893055	5.31311168
7893056	5.115970776
7893057	3.526159517
7893058	10.63972913
7893059	5.363373681000001
7893060	3.0753170389999998
7893061	10.15334418
7893062	4.588367413
7893063	6.5883737579999995
7893064	6.627644762999999
7893065	5.653795675
7893066	2.430078835
7893067	7.7653282820000005
7893068	7.317265126000001
7893069	7.410768647
7893070	10.25473754
7893071	6.088812172000001
7893072	5.498053715
7893073	9.42329074
7893074	8.82993076
7893075	8.620257028
7893076	5.378895942000001
7893077	12.58152318
7893078	2.847182519
7893079	9.643267695
7893080	3.1778060389999996
7893081	11.78487701
7893082	5.388906635
7893083	3.548197515
7893084	9.463815768
7893085	10.16926618
7893086	7.9699145829999996
7893087	9.231488166
7893088	3.4652867389999997
7893089	7.737857067999999
7893090	12.59954076
7893091	8.679957787000001
7893092	5.358895353
7893093	4.324708264
7893094	11.95360634
7893095	4.620889893
7893096	10.34057105
7893097	9.631984482
7893098	6.530355844
7893099	4.869298122
7893100	5.914828733999999
7893101	12.16884596
7893102	5.510160164
7893103	11.65750382
7893104	8.156348593999999
7893105	9.256622423
7893106	7.435837086
7893107	3.8581185839999996
7893108	3.40248597
7893109	3.07425374
7893110	3.5487763539999997
7893111	4.966732335
7893112	6.601753451
7893113	7.282992397999999
7893114	5.206409407
7893115	5.775285193999999
7893116	8.383727412999999
7893117	3.1773356319999997
7893118	6.75534022
7893119	4.4991516030000005
7893120	5.991165707
7893121	9.715139444
7893122	6.662327006
7893123	6.626104669
7893124	4.954244194
7893125	7.098044609
7893126	3.44387565
7893127	2.316461104
7893128	7.273570886
7893129	4.006632542
7893130	10.41068213
7893131	10.32140698
7893132	3.265570502
7893133	11.87904287
7893134	7.375064807
7893135	2.847182519
7893136	5.159693058999999
7893137	3.2001860539999996
7893138	11.38944456
7893139	11.39407295
7893140	11.99724861
7893141	8.361171486
7893142	3.2642363
7893143	6.881815706
7893144	4.279755599
7893145	5.927325765
7893146	4.605525452
7893147	12.05403541
7893148	9.520815077
7893149	3.0749986610000004
7893150	4.135650299
7893151	6.658631881
7893152	10.45049877
7893153	9.526993217000001
7893154	7.521059648
7893155	3.465073554
7893156	5.778236452000001
7893157	2.518092581
7893158	5.628869857000001
7893159	7.6361489360000006
7893160	11.12728931
7893161	3.6058441969999997
7893162	3.934731245
7893163	2.8904614389999996
7893164	10.9183665
7893165	5.775011178
7893166	3.4643917230000003
7893167	5.053297467
7893168	8.420142256
7893169	4.865179517
7893170	6.832247361
7893171	7.630369844
7893172	7.893834192000001
7893173	11.09080074
7893174	2.701308057
7893175	5.927325765
7893176	3.18517955
7893177	4.04374968
7893178	3.267506618
7893179	4.009783935
7893180	6.84589461
7893181	9.501929722
7893182	4.714907312
7893183	5.176166103
7893184	8.686832566
7893185	5.811967396
7893186	2.428647573
7893187	10.18242942
7893188	6.6313527
7893189	12.56442211
7893190	6.324411249
7893191	9.491581097000001
7893192	4.513203922
7893193	2.1803420630000003
7893194	11.91554032
7893195	3.780036973
7893196	10.78268602
7893197	2.132513378
7893198	2.8904614389999996
7893199	2.789578315
7893200	2.907575745
7893201	11.33064888
7893202	6.896091963
7893203	4.4374569280000005
7893204	6.717134128
7893205	9.865516129
7893206	5.557445584
7893207	7.023840184
7893208	11.20850833
7893209	7.233249251
7893210	5.715971895
7893211	3.613452808
7893212	3.701765801
7893213	6.2153030010000005
7893214	3.9653781460000004
7893215	5.715341707
7893216	5.883842192
7893217	8.564658635
