ID_REF	VALUE
7892501	4.1125727439999995
7892502	5.749333632000001
7892503	6.035670417
7892504	9.46241665
7892505	3.310243767
7892506	3.876877167
7892507	3.144018485
7892508	6.105347162999999
7892509	10.07643484
7892510	7.616131885
7892511	3.437591145
7892512	7.714684498
7892513	4.781609738
7892514	8.304437752
7892515	7.892583038
7892516	5.7192269
7892517	7.426835037999999
7892518	3.106788068
7892519	3.62818506
7892520	9.560565035
7892521	8.070148023
7892522	6.864785433
7892524	7.547497684
7892525	6.667848952999999
7892526	6.507123746
7892527	10.08683024
7892528	2.19300791
7892529	6.293348602999999
7892530	10.72454309
7892531	7.078010695
7892532	4.8006142810000005
7892533	8.32189299
7892534	3.426038965
7892535	6.539278068
7892537	4.516162276
7892538	5.2979265269999996
7892539	4.608530496
7892540	6.600819649
7892541	8.961353746
7892542	8.930835062
7892543	5.177997747
7892544	5.201653343
7892545	5.4533582560000005
7892547	3.99140225
7892548	7.227105135
7892549	7.466498441000001
7892550	8.959708033
7892551	10.83639247
7892552	6.727562782000001
7892553	6.335209396000001
7892554	3.7277213939999996
7892555	6.417882924
7892556	13.09216996
7892557	3.310243767
7892558	4.991903541
7892559	5.529723484
7892560	5.5427226570000006
7892561	8.302853589
7892562	8.891314318
7892563	6.84756437
7892564	10.48984117
7892565	6.985422737
7892566	4.459891324
7892567	5.866558864
7892568	11.69694872
7892569	8.166663933999999
7892570	7.701502596
7892571	1.919138595
7892572	6.21680562
7892573	5.257480031
7892574	10.43172881
7892575	7.298588618999999
7892576	5.827739697
7892577	2.1244854280000003
7892578	1.876950076
7892579	9.083338264
7892580	4.996739003
7892581	4.857728567
7892582	2.328795161
7892583	4.612623161
7892584	4.9952126980000005
7892585	3.77021656
7892586	3.475336263
7892587	8.18429752
7892588	2.261698907
7892589	6.106208637000001
7892590	4.781609738
7892591	2.1155405380000003
7892592	6.7043038070000005
7892593	5.200797526000001
7892594	3.106788068
7892595	5.353426708
7892596	5.309125163
