ID_REF	VALUE
7892501	3.608404119
7892502	6.111407177999999
7892503	5.235546747
7892504	9.484232102
7892505	2.441254085
7892506	7.383674462
7892507	4.809666277
7892508	5.514502468
7892509	10.56122649
7892510	5.517100847000001
7892511	3.19599858
7892512	7.753168631
7892513	4.442585326000001
7892514	9.151949269
7892515	7.8895458960000004
7892516	4.159308902
7892517	4.8019124
7892518	4.202616648
7892519	5.139794074
7892520	9.25726792
7892521	7.26090698
7892522	5.605484067000001
7892524	7.292887672000001
7892525	7.358443053999999
7892526	7.172341604
7892527	9.684722889
7892528	2.592750145
7892529	4.959322565
7892530	12.02403096
7892531	7.933014785
7892532	3.593402396
7892533	7.454694148
7892534	4.359756152
7892535	5.18556681
7892537	3.239206928
7892538	5.134743092
7892539	2.764416875
7892540	6.867044353
7892541	7.374316105
7892542	8.136366833
7892543	5.805721855
7892544	4.318737878
7892545	4.943636474
7892547	3.4011053280000003
7892548	7.88910848
7892549	6.245621597
7892550	8.359223118
7892551	10.33927237
7892552	6.201868592
7892553	5.405877247
7892554	3.450895068
7892555	7.666919421
7892556	12.67929493
7892557	1.858388996
7892558	3.42253912
7892559	6.677026613
7892560	6.005176136
7892561	8.667750681000001
7892562	9.263085088
7892563	7.920916319
7892564	10.12074579
7892565	5.376169078999999
7892566	5.215886648
7892567	6.003834443
7892568	10.1386495
7892569	8.190502985
7892570	7.99302548
7892571	2.980223969
7892572	6.08633299
7892573	6.259001867
7892574	10.83467587
7892575	7.7391979079999995
7892576	5.375695036000001
7892577	2.99956724
7892578	4.7347519060000005
7892579	10.22571258
7892580	2.608656661
7892581	3.185039147
7892582	3.193728073
7892583	5.318265264
7892584	5.911355912
7892585	2.785106893
7892586	4.333412227
7892587	6.597119886000001
7892588	2.4066481090000003
7892589	5.783079534
7892590	4.943636474
7892591	2.257098858
7892592	4.73343341
7892593	4.493035363
7892594	3.627979266
7892595	4.194711936
7892596	5.78888048
7892597	5.2218710360000005
7892598	8.429544679
7892599	10.01461578
7892600	2.147490363
7892602	1.9574525180000002
7892603	4.613476181
7892604	2.891433184
7892605	7.009977197
7892606	11.80672229
7892608	8.797837373
7892609	2.504895657
7892610	6.409935606
7892611	2.346924511
7892612	4.849629855
7892613	9.343773276
7892614	2.4066481090000003
7892615	3.656003071
7892616	2.805124405
7892617	12.26949114
7892618	5.394920631000001
7892619	5.495214388
7892620	10.04710095
7892621	11.80041464
7892622	9.254548217
7892623	8.696142155
7892624	3.239206928
7892625	6.896866
7892626	5.034625569
7892627	7.237719654
7892628	10.27053042
7892629	6.158508164
7892630	8.60043174
7892631	2.158927065
7892632	3.992249565
7892633	7.7858719370000005
7892634	8.292086159
7892635	9.047682695
7892636	7.618312552999999
7892637	8.163735739
7892638	3.234717832
7892639	6.532185473999999
7892641	4.728466598
7892642	9.62587824
7892643	10.032307099999999
7892644	9.607762373
7892645	3.452267071
7892646	3.650323923
7892647	4.943636474
7892648	9.510626336
7892649	4.8163187810000005
7892650	12.20690626
7892651	4.700385379
7892652	11.31399878
7892653	3.42253912
7892654	8.625847278
7892655	5.122519605
7892656	4.14875112
7892657	2.785106893
7892658	2.785106893
7892659	3.198763493
7892660	1.6901304380000002
7892661	9.801562083
7892662	9.372777111
7892663	11.23679844
7892664	5.297278256
7892665	6.539278068
7892666	4.493501448
7892667	9.776766087
7892668	10.15103404
7892669	6.345318224
7892670	8.806063025
7892671	4.255215307
7892672	4.5760942369999995
7892673	5.5427226570000006
7892674	7.284376397000001
7892675	4.580339487
7892676	5.315329548
7892677	10.24838961
7892678	6.791276549
7892679	4.610473661
7892680	8.412489908
7892681	6.768886835
7892682	3.8521620430000003
7892683	4.579078017
7892684	8.689555927
7892685	4.589767023
7892686	6.464171446
7892687	6.912943126
7892688	7.5685202039999995
7892689	6.52268377
7892690	2.99956724
7892691	2.6103338519999997
7892692	6.781263737000001
7892693	6.133876312999999
7892694	6.761135038
7892695	4.84707136
7892696	6.8504120870000005
7892697	6.40958213
7892699	6.84918514
7892700	4.603512169
7892701	9.839507214
7892702	7.8458444279999995
7892703	7.056927611
7892704	12.04284581
7892705	6.0691215220000005
7892706	6.828103634
7892707	10.22693069
7892708	5.587343869
7892709	5.91369018
7892710	3.402542672
7892711	7.278269011
7892712	7.755125557
7892713	9.443977108
7892714	2.078551959
7892715	3.019361762
7892716	7.722240617000001
7892717	6.853184656
7892718	4.731403783
7892719	8.88535897
7892720	8.911343116
7892721	9.00446922
7892722	2.891433184
7892723	2.568347115
7892724	4.698489846
7892725	3.1997404869999997
7892726	5.444464667999999
7892727	5.226229469
7892728	3.0259241219999997
7892729	4.828021893
7892730	4.4536113969999995
7892731	4.957879737
7892732	3.313648445
7892733	4.458234387
7892734	6.410507119
7892735	4.849629855
7892736	4.952785955
7892737	4.959322565
