ID_REF	VALUE
7892501	6.418886431000001
7892502	6.718395822000001
7892503	5.250139388
7892504	9.296047814
7892505	2.151216825
7892506	6.24498685
7892507	3.803243282
7892508	5.141977005
7892509	11.28821166
7892510	4.009214738
7892511	2.586347504
7892512	7.683612816
7892513	5.350745802
7892514	9.767771157
7892515	9.104072087999999
7892516	6.53446981
7892517	5.448335161
7892518	2.497879441
7892519	7.336708327
7892520	10.09848856
7892521	7.741734299999999
7892522	6.275519919
7892524	6.850862147000001
7892525	6.400686659
7892526	9.095817185
7892527	10.10982071
7892528	2.484334496
7892529	5.574254067999999
7892530	12.24627206
7892531	5.799962667000001
7892532	4.2582438389999995
7892533	7.541413126
7892534	4.841872361
7892535	6.727986463
7892537	4.587738203
7892538	5.3517946
7892539	5.04605353
7892540	6.150482571
7892541	9.307001592
7892542	8.543757255
7892543	4.660155363
7892544	5.029819362
7892545	4.293213939
7892547	5.366275212
7892548	6.61575257
7892549	8.454794163999999
7892550	7.654451642000001
7892551	10.71935916
7892552	5.741784192999999
7892553	6.897936613
7892554	5.48961045
7892555	7.776668546000001
7892556	13.06705737
7892557	3.585414156
7892558	4.774642869
7892559	5.9755572710000004
7892560	3.9806278489999998
7892561	9.247521299
7892562	8.90078873
7892563	8.286935016000001
7892564	10.33665064
7892565	7.1077876589999995
7892566	4.660155363
7892567	5.583272807
7892568	9.718644696
7892569	8.18077705
7892570	9.44939874
7892571	2.472234839
7892572	5.471342067
7892573	6.566027571
7892574	10.77902984
7892575	8.267871387000001
7892576	5.451447706000001
7892577	2.292103871
7892578	4.196487172
7892579	9.454066451000001
7892580	4.3773610419999995
7892581	3.618312682
7892582	2.610158773
7892583	5.088410505
7892584	5.584712014
7892585	2.47575131
7892586	2.771353343
7892587	5.103301848
7892588	2.2881923769999997
7892589	4.970064269
7892590	5.194876541
7892591	2.813562255
7892592	6.0769607379999995
7892593	5.806410907999999
7892594	6.829482181
7892595	4.194807691
7892596	4.775902594
7892597	3.475676501
7892598	9.639913266
7892599	10.06637159
7892600	3.1026283639999996
7892602	2.373248642
7892603	4.09925673
7892604	3.666579797
7892605	8.523271712
7892606	11.98530622
7892608	9.45488289
7892609	2.11490648
7892610	8.884012007
7892611	2.4334659380000003
7892612	2.7259101219999997
7892613	10.52738399
7892614	3.39152159
7892615	6.056262439
7892616	2.209961781
7892617	12.35670831
7892618	6.217009877000001
7892619	5.62231673
7892620	9.75285216
7892621	11.8475663
7892622	10.14728891
7892623	9.587983357
7892624	2.850169771
7892625	6.449371328
7892626	4.259798094
7892627	7.140042864
7892628	9.904823924
7892629	5.530119582999999
7892630	9.72061492
7892631	2.611628038
7892632	3.9822872769999997
7892633	6.311448472
7892634	8.758908816
7892635	9.704230888
7892636	8.689774004
7892637	5.9133669410000005
7892638	2.2212194259999998
7892639	9.148681114
7892641	3.327785371
7892642	10.00242748
7892643	9.592938587
7892644	10.0136179
7892645	2.086210038
7892646	3.150741618
7892647	5.936824958
7892648	9.830653847999999
7892649	3.6772741389999997
7892650	12.15180392
7892651	2.212541014
7892652	11.96782379
7892653	2.306613777
7892654	9.020045083
7892655	4.781487893
7892656	3.83331897
7892657	3.109304396
7892658	2.577265502
7892659	3.581524738
7892660	2.11490648
7892661	8.518451086
7892662	8.236515322999999
7892663	11.64314902
7892664	4.5502678439999995
7892665	4.860692398
7892666	2.6075171669999997
7892667	10.18242942
7892668	10.70214384
7892669	7.1049484320000005
7892670	7.890560806
7892671	4.7100730639999995
7892672	5.165493261
7892673	5.7140406420000005
7892674	6.7668590570000005
7892675	5.976264352
7892676	5.704946283
7892677	10.80956712
7892678	6.768244308
7892679	3.58368188
7892680	8.405263827999999
7892681	7.186453051
7892682	3.319125951
7892683	6.217009877000001
7892684	9.865516129
7892685	5.674579736
7892686	7.001949209
7892687	6.618247458
7892688	5.986705993999999
7892689	4.0925804889999995
7892690	3.198630435
7892691	2.151216825
7892692	7.465851511
7892693	8.183711923999999
7892694	6.115474298
7892695	3.2325635110000004
7892696	7.160107066
7892697	6.593072659
7892699	8.83271351
7892700	3.775580591
7892701	9.992998501
7892702	9.645059386
7892703	6.176625731000001
7892704	12.40695515
7892705	5.088815856
7892706	8.259971757999999
7892707	10.90939351
7892708	6.7166768160000005
7892709	4.42716186
7892710	2.160614766
7892711	8.851997274
7892712	8.90644052
7892713	9.042276371
7892714	3.5831740539999997
7892715	3.198630435
7892716	7.105228079
7892717	6.813198111
7892718	3.2162639439999996
7892719	9.705948945
7892720	8.940601676
7892721	10.12074579
7892722	2.4334659380000003
7892723	3.4445857189999995
7892724	3.5864322210000004
7892725	3.70216972
7892726	4.0982518489999995
7892727	6.881963058999999
7892728	2.705952687
7892729	6.3124539
7892730	4.742006969
7892731	5.83234043
7892732	3.2729048919999997
7892733	5.265707067
7892734	7.570969796
7892735	3.4434061660000004
7892736	3.804207247
7892737	3.56022018
7892738	7.2647391379999995
7892739	5.087267194
7892740	4.621332523
7892741	6.784630769
7892742	9.172034962
7892743	2.373248642
7892744	6.412266333
7892745	9.404171685
7892746	2.078940069
7892747	8.661386421
7892748	10.14480701
7892749	5.396645492999999
7892750	4.588077823
7892751	7.22419632
7892752	2.137600554
7892753	12.80122921
7892754	5.632457565
7892755	3.9692841580000002
7892757	7.571258105
7892758	4.170652726
7892759	5.199520774
7892760	4.713731463
7892761	5.305215683999999
7892762	9.853661992000001
7892763	8.288633836
7892764	8.816493859
7892765	10.24720925
7892766	9.601128131
7892767	3.474643491
7892768	2.954794239
7892769	2.000159149
7892770	9.60731835
7892771	8.877121661
7892772	5.246446756
7892773	6.920782737000001
7892774	4.731403783
7892775	4.84376687
7892776	10.09726484
7892777	5.360655266
7892778	7.062883894
7892779	3.559829257
7892780	5.092005427
7892781	6.39713835
7892782	12.22034003
7892783	9.731247506
7892784	3.079832408
7892785	3.8817316369999997
7892786	9.479199754
7892787	3.77409355
7892788	9.405677245
7892789	5.785422706
7892790	4.656324881000001
7892791	11.42120929
7892792	5.954163847
7892793	3.231933166
7892794	3.800389515
7892795	6.927316544
7892796	12.84002187
7892797	6.906109647
7892798	2.610158773
7892799	2.7259101219999997
7892800	2.47470144
7892801	2.377263118
7892802	7.887325931
7892803	12.71600635
7892804	4.70913316
7892805	4.454226918
7892806	3.7000151239999997
7892807	3.775808922
7892808	8.065888214
7892809	3.558380435
7892810	3.9026323339999998
7892811	2.4745589619999997
7892812	7.7344740960000005
7892813	5.091606228
7892814	10.73479627
7892816	10.54490388
7892817	12.54799311
7892818	2.723332285
7892819	8.873709624
7892820	12.48709134
7892821	4.3649893969999995
7892822	5.93934989
7892823	6.531029114
7892824	7.264106272
7892825	3.090269759
7892826	6.475192794
7892827	12.43938314
7892828	2.292103871
7892829	11.9121281
7892830	10.64943366
7892831	10.69067677
7892832	8.006404213
7892833	2.587203939
7892834	2.396841825
7892835	10.70049119
7892836	9.996122104
7892837	9.734905337999999
7892838	10.29630659
7892839	2.215444529
7892840	5.307649712
7892841	9.075121234
7892842	6.689024115
7892843	2.2881923769999997
7892844	4.589540198
7892845	6.249102637999999
7892846	11.224011
7892847	6.4569084839999995
7892848	9.84558542
7892849	4.63830827
7892850	8.630480318
7892851	5.263079707
7892852	7.120957822
7892853	12.19805464
7892854	3.666309902
7892855	3.6668780539999997
7892856	8.288213198
7892857	12.05018811
7892858	5.126502151
7892859	7.40026845
7892860	5.757872562999999
7892861	11.01043505
7892862	9.687481868999999
7892863	7.607046395
7892864	6.374793425
7892865	10.88977908
7892866	3.4434061660000004
7892867	4.641185264
7892868	11.59776417
7892869	6.0549544189999995
7892870	6.7043038070000005
7892871	7.547800271
7892872	6.851443446
7892873	4.824183086000001
7892874	3.0782753260000004
7892875	6.886560687999999
7892876	6.543939175
7892877	2.472234839
7892878	6.56961368
7892879	9.342409635
7892880	9.727791629
7892881	4.345056687
7892882	10.45658514
7892883	3.566729058
7892884	9.935371914
7892885	4.424371591
7892886	5.028023349
7892887	5.262302184
7892888	5.246657737
7892889	12.06568575
7892890	9.872477348
7892891	12.15628444
7892892	5.48961045
7892893	7.739329347000001
7892894	10.804198699999999
7892895	4.089107089
7892896	9.558937781000001
7892897	6.034849229
7892898	6.118670773
7892899	11.67623357
7892900	12.4122818
7892901	11.49673022
7892902	12.67211492
7892903	9.326571671
7892904	3.8721630639999995
7892905	2.1570601640000002
7892906	12.46954024
7892907	11.05768461
7892908	5.150237895
7892909	8.418438082
7892910	5.997995511
7892911	5.616289504
7892912	4.87043917
7892913	4.502022976
7892914	4.598373536
7892915	9.372010699999999
7892917	4.074790092
7892918	5.033150712
7892919	10.66985455
7892920	9.597064499
7892921	2.212541014
7892922	3.904191108
7892923	2.595537948
7892924	11.62552199
7892925	10.51984602
7892926	9.497225969
7892927	4.500783846
7892928	10.61044468
7892929	4.3773610419999995
7892930	10.82942322
7892931	5.086793521000001
7892932	8.941652314
7892933	4.7100730639999995
7892934	7.330863623
7892935	8.815446047
7892936	4.903253726
7892937	8.948086519
7892938	7.600626835
7892939	8.793699466
7892940	11.86876038
7892941	11.31855512
7892942	5.202601248
7892944	7.762285257
7892945	4.195132345
7892946	5.102537612
7892947	10.33398343
7892948	10.75869349
7892949	3.903363807
7892950	3.234181392
7892951	7.256574402
7892952	6.0534113110000005
7892953	8.923251868
7892954	9.376332395
7892955	10.24968582
7892956	11.40898387
7892957	5.051334654
7892958	2.696875346
7892959	5.534422768
7892960	9.160123217999999
7892961	10.360862699999998
7892962	3.205815999
7892963	6.696882241
7892964	5.530423924
7892965	2.952120103
7892966	8.737290295
7892967	9.482576298
7892968	6.014384579
7892969	11.59478244
7892970	3.441597792
7892972	9.895651759
7892973	8.355639037000001
7892974	4.4311166580000005
7892975	3.1026283639999996
7892976	2.954794239
7892977	10.72454309
7892978	5.8359296910000005
7892979	10.13608923
7892980	6.513030115
7892981	9.594551046
7892982	4.690053094
7892983	11.86150788
7892984	5.4969912260000005
7892985	5.363123556000001
7892986	9.773988161
7892987	12.12560927
7892988	2.825060473
7892989	5.355857685
7892990	7.504871231
7892991	9.615556051
7892992	12.07351994
7892993	10.29770441
7892994	2.161882431
7892995	2.299919976
7892996	8.250238118
7892997	4.257377778
7892998	7.002329721000001
7892999	4.101107882
7893000	8.246096343
7893001	10.19483211
7893002	10.17994122
7893003	5.044253985
7893004	8.943911653999999
7893005	4.690053094
7893006	4.90350739
7893007	8.950371302
7893008	2.7259101219999997
7893009	4.970322515
7893010	5.261441184
7893011	6.0218321910000006
7893012	11.12077585
7893013	4.860133038
7893014	5.409461232000001
7893015	12.30086547
7893016	3.205815999
7893017	5.8266765110000005
7893018	5.308456438
7893019	6.612797776
7893021	4.281730608
7893022	3.769356273
7893023	9.367674721
7893024	4.0078172080000005
7893025	6.190656907999999
7893027	3.6668780539999997
7893028	8.226439407
7893029	11.34953383
7893030	7.583697207
7893031	8.140750043999999
7893032	5.826342175
7893033	9.814750502999999
7893034	5.586094646
7893035	4.916812548999999
7893036	7.661023289
7893037	5.730213361000001
7893038	3.904642177
7893039	9.818206744
7893040	6.944856345
7893041	2.151216825
7893042	10.18737225
7893043	6.539577181
7893044	2.704168953
7893045	2.397786116
7893046	4.193757982
7893047	7.047487221
7893048	6.882758406000001
7893049	4.758481923
7893050	11.95000312
7893051	8.4903005
7893052	3.882987743
7893053	3.5831740539999997
7893055	4.169436237
7893056	5.126502151
7893057	3.35701069
7893058	11.76221126
7893059	5.900509072
7893060	4.282843315
7893061	9.991963753
7893062	4.28495827
7893063	6.988018081
7893064	5.4001010560000005
7893065	8.349485889
7893066	2.151216825
7893067	8.574057267
7893068	7.766669571
7893069	8.084790842
7893070	9.698633113
7893071	6.252157662
7893072	5.586960911
7893073	9.592155029
7893074	8.279961286
7893075	9.027509079
7893076	6.605844564
7893077	12.91823707
7893078	2.900132065
7893079	9.294591808
7893080	2.978240818
7893081	11.09684954
7893082	6.418441201
7893083	2.730928355
7893084	8.484149874
7893085	10.987304199999999
7893086	8.606668382
7893087	9.065676256
7893088	4.448959155
7893089	7.892201336
7893090	12.80905874
7893091	4.231136173
7893092	5.739998592999999
7893093	4.52347942
7893094	11.925572500000001
7893095	3.557443267
7893096	10.92000462
7893097	9.628385307
7893098	8.428351525
7893099	4.777131528
7893100	5.745854448999999
7893101	12.93564057
7893102	6.675616814
7893103	11.55431247
7893104	8.717425946
7893105	9.576167546
7893106	7.571919868999999
7893107	2.731776874
7893108	2.6501660730000003
7893109	3.702763872
7893110	4.199746289
7893111	3.024165408
7893112	5.394920631000001
7893113	6.94594022
7893114	5.706628491
7893115	6.981813439
7893116	9.289160895
7893117	2.696875346
7893118	6.3993133239999995
7893119	4.968727186000001
7893120	8.177137997
7893121	9.597821984
7893122	5.949314014
7893123	6.0884780229999995
7893124	4.011157143999999
7893125	6.340870514
7893126	4.099924839
7893127	2.900132065
7893128	5.758699797
7893129	3.9030971510000003
7893130	11.45425997
7893131	10.84527678
7893132	3.795407237
7893133	11.47739259
7893134	6.881408876
7893135	3.2729048919999997
7893136	7.493856605
7893137	5.577874359
7893138	11.41890019
7893139	11.35443285
7893140	12.34110822
7893141	9.763235492
7893142	3.581524738
7893143	6.211870052999999
7893144	4.275733628999999
7893145	5.070037743
7893146	4.005002633
7893147	12.57608165
7893148	9.361578639
7893149	3.762521655
7893150	2.613334908
7893151	5.452430296
7893152	10.74827875
7893153	8.37386789
7893154	9.204131188
7893155	4.586852082
7893156	4.6697745369999994
7893157	2.731776874
7893158	6.365660546
7893159	7.679500632000001
7893160	11.10258852
7893161	2.049782088
7893162	3.441597792
7893163	2.8181710339999997
7893164	11.37915298
7893165	7.4025195329999995
7893166	4.262211249
7893167	4.976102533
7893168	9.199739697
7893169	5.517100847000001
7893170	5.86300493
7893171	7.83823404
7893172	9.682131937000001
7893173	11.59186547
7893174	2.538388397
7893175	7.504871231
7893176	3.6914206419999998
7893177	5.773781708
7893178	3.795407237
7893179	3.475312302
7893180	6.904774257000001
7893181	7.498044618
7893182	5.672172838
7893183	5.363817968999999
7893184	8.578566591
7893185	6.3696382520000006
7893186	2.583251176
7893187	10.01785257
7893188	6.428170774
7893189	12.61241847
7893190	7.50901333
7893191	10.15951058
7893192	4.099482844
7893193	2.538388397
7893194	12.26949114
7893195	4.424684926
7893196	10.89348045
7893197	2.2212194259999998
7893198	2.159292845
7893199	2.398859017
7893200	2.8181710339999997
7893201	10.52119011
7893202	7.602232602999999
7893203	4.855250348999999
7893204	5.715971895
7893205	9.365443948
7893206	5.087942405
7893207	8.51004341
7893208	11.42662562
7893209	8.307447254
7893210	5.543797261
7893211	2.850169771
7893212	3.6914206419999998
7893213	5.412303683999999
7893214	7.642237122
7893215	5.986520081
7893216	5.798590167
7893217	5.595202608999999
7893218	12.52602953
7893219	4.637750436
7893220	10.12562254
7893221	5.029819362
7893222	3.463572783
7893223	3.475676501
7893224	3.890073267
7893225	8.404840518
7893226	6.150817601
7893227	6.0079031689999995
7893228	6.639728073
7893229	3.762521655
7893230	6.976228449
7893231	12.03131872
7893232	5.450378
7893233	2.701661152
7893234	7.332768617
7893235	8.746074019
7893236	6.451900329
7893237	9.57963484
7893238	11.37667991
7893239	6.502914707
7893240	6.814893119
7893241	8.538040298
7893242	9.754653387000001
7893243	2.982011675
7893244	11.54496896
7893245	7.301313277999999
7893246	5.546170141
7893247	10.89706514
7893248	6.47977226
7893249	8.532136361000001
7893250	3.198630435
7893251	2.8370333580000002
7893252	3.106746025
7893253	5.158053541
7893254	6.3107785320000005
7893255	7.692615909
7893256	3.354835931
7893257	6.45650452
7893258	9.710536165
7893259	11.27616764
7893260	5.213045672
7893261	10.56603769
7893262	10.20590417
7893263	6.9897935460000005
7893264	11.54752611
7893265	7.395107725
7893266	10.63809429
7893267	4.844139071
7893268	7.265490612000001
7893269	4.993917985
7893270	11.15026061
7893271	9.974420055
7893272	11.25531148
7893273	7.800851654
7893274	1.9640566240000001
7893275	3.6538105169999997
7893276	3.205815999
7893277	8.411753436
7893278	4.908682423999999
7893279	3.327183691
7893280	2.2881923769999997
7893281	11.73995617
7893282	6.023685029
7893283	10.96412735
7893284	2.954794239
7893285	5.583947587999999
7893286	5.947851241
7893287	5.263079707
7893288	7.8946786939999996
7893289	11.33064888
7893290	3.979827953
7893291	4.65855724
7893292	3.233430714
7893293	2.2212194259999998
7893294	9.254548217
7893295	3.981192727
7893296	4.457708509
7893297	10.11575822
7893298	9.5387659
7893299	6.962859318
7893300	6.315369982000001
7893301	3.2035481519999998
7893302	4.520958398
7893303	5.636607478999999
7893304	8.198404266
7893306	4.758481923
7893307	4.727821447
7893308	6.22002368
7893309	5.267792695
7893310	4.367051289
7893311	8.001312343
7893312	2.03555397
7893313	10.23431315
7893314	6.806538152999999
7893315	5.506805592999999
7893316	12.00077974
7893317	2.468303751
7893318	5.367265925
7893319	7.395567655
7893320	4.503103526
7893321	11.65750382
7893322	5.517100847000001
7893323	6.1750731839999995
7893324	4.199746289
7893325	5.436782544
7893326	3.762521655
7893327	3.0692136839999997
7893328	2.151216825
7893329	5.634772852999999
7893330	2.386252105
7893331	4.779911818
7893332	5.7984060070000005
7893333	5.7129527289999995
7893334	10.07890106
7893335	8.042563701
7893336	11.0727584
7893337	9.618141647
7893338	9.961335254
7893339	8.567650458
7893340	9.47836734
7893341	6.111951647000001
7893342	3.5098502989999996
7893343	6.5400861379999995
7893344	10.57387035
7893345	11.2327975
7893346	7.938092135
7893347	1.96862969
7893349	7.10220849
7893350	5.704367765
7893351	10.5363041
7893352	5.160316295
7893353	7.815969458
7893354	9.758471125
7893355	4.038722333
7893356	9.884510403
7893357	11.94669341
7893358	5.2893384469999996
7893359	5.739326651
7893360	6.448525286000001
7893361	6.079583747999999
7893362	9.45053496
7893363	7.677156362000001
7893364	10.44309806
7893365	6.675616814
7893366	3.328038878
7893367	8.14209938
7893369	7.876566536
7893370	3.904642177
7893371	11.58876428
7893372	5.852371785
7893373	8.096586643
7893374	10.63332237
7893375	2.037844369
7893376	4.231136173
7893377	2.2212194259999998
7893378	2.306613777
7893379	2.900132065
7893380	8.061875738
7893381	2.729319635
7893383	3.795407237
7893384	5.837146989
7893385	11.06849296
7893386	13.46858332
7893387	4.455259647
7893388	4.621332523
7893389	3.106746025
7893390	10.26164368
7893391	9.956869188999999
7893392	8.471538414
7893393	12.49783523
7893394	10.78429665
7893395	8.474287646
7893396	7.070533364
7893397	4.905754901
7893398	1.774969391
7893399	9.787756065
7893400	4.169006051
7893401	3.5858026439999997
7893402	10.08582005
7893403	6.689944279
7893404	4.868003153
7893405	6.259001867
7893406	1.889138103
7893407	11.05973557
7893408	5.351604773
7893410	6.738630832
7893411	5.826864522999999
7893412	2.215444529
7893413	8.644088837
7893414	12.57029325
7893415	4.1945911989999995
7893416	9.566146038
7893417	2.8370333580000002
7893418	9.859459583
7893419	11.87904287
7893420	11.21728285
7893421	8.465766103
7893422	10.64771365
7893423	2.137600554
7893424	10.93485024
7893425	2.2290021319999997
7893427	3.471643644
7893428	8.938889654
7893429	3.7714192860000004
7893430	5.043552978999999
7893431	3.075462398
7893432	7.862458915
7893433	5.2141949
7893434	3.88342405
7893435	9.73292669
7893436	7.64609826
7893437	9.483688338
7893438	8.267285853999999
7893439	11.13548723
7893440	4.518219318
7893441	7.731119335
7893442	7.972748192999999
7893443	7.17990156
7893444	9.609391233
7893445	6.934166585
7893446	5.045550223
7893447	9.793725448
7893448	9.873454931
7893449	11.27851986
7893450	3.075462398
7893451	4.503447842
7893452	6.112929299
7893453	6.960001137999999
7893454	9.369871697
7893455	8.477617927999999
7893456	4.258531375
7893457	3.231933166
7893458	10.46517944
7893459	4.434290159
7893460	10.59109602
7893461	8.142965075
7893462	6.24586418
7893463	5.363499995
7893464	6.256177396
7893465	4.481147528
7893466	10.77203988
7893467	8.731237733
7893468	8.004805359
7893469	12.27414415
7893470	7.08361293
7893471	3.108442615
7893472	9.207271283999999
7893473	6.314089359
7893474	2.820892984
7893475	5.356190817
7893476	8.776208788
7893477	6.661315592999999
7893478	5.7409707679999995
7893479	4.401884169
7893480	7.972232612999999
7893481	5.938535379
7893482	6.2190705920000005
7893483	8.298302113
7893484	3.024165408
7893485	9.96014916
7893486	11.97861569
7893487	4.257377778
7893488	7.14735885
7893489	2.257777512
7893490	2.292103871
7893491	9.265145699
7893492	2.257777512
7893493	5.193725292
7893494	7.9699145829999996
7893495	4.097362518
7893496	5.852371785
7893497	7.608531029
7893498	12.53123022
7893499	2.398223263
7893500	5.2893384469999996
7893501	4.863254488
7893502	2.3971808390000002
7893503	8.098586475
7893504	9.684722889
7893505	2.696875346
7893506	5.873134182
7893507	13.07898133
7893508	2.813562255
7893509	3.665204722
7893510	2.146281288
7893511	9.360943068
7893512	2.595537948
7893513	6.619388231
7893514	4.777629148
7893515	9.327227352000001
7893516	11.23089983
7893517	8.463195114
7893518	6.476625739
7893519	3.3265760760000003
7893520	3.769356273
7893521	3.0782753260000004
7893522	5.261441184
7893523	5.04605353
7893524	8.676260268
7893525	5.888366024
7893526	2.468303751
7893527	5.550475938
7893528	6.234353216000001
7893529	6.023685029
7893530	12.22469409
7893531	8.081636515
7893532	2.257777512
7893533	6.586362318
7893534	7.126294323
7893535	3.883586924
7893536	11.14626642
7893537	4.28495827
7893538	4.9136983789999995
7893539	9.524727176
7893540	12.33013228
7893541	3.762521655
7893542	7.293443152
7893543	10.8380364
7893544	6.50767338
7893545	10.15694893
7893546	7.189007071
7893547	12.48116684
7893548	4.109501798
7893549	6.58783156
7893550	10.08917474
7893551	8.938320475
7893552	7.237719654
7893553	4.380521863999999
7893554	10.1312984
7893555	6.655642503999999
7893556	6.48430929
7893557	9.776766087
7893558	8.206530493999999
7893559	11.70872176
7893560	8.72674725
7893561	9.800579671
7893562	8.316639802000001
7893563	2.824380989
7893564	13.27057124
7893565	5.340269308
7893566	2.029377545
7893567	4.98557207
7893568	5.707331394
7893569	2.306613777
7893570	4.481147528
7893572	7.605478526000001
7893573	10.17339322
7893574	9.801562083
7893575	4.569486803
7893576	7.731119335
7893577	2.95077597
7893578	4.70782007
7893579	2.2881923769999997
7893580	4.096532825
7893581	6.884808644
7893582	11.71842811
7893583	8.894740787
7893584	3.2162639439999996
7893585	7.799281957000001
7893586	5.301018396
7893587	5.936824958
7893588	6.1542747339999995
7893589	4.785388053
7893590	7.940336611
7893591	11.23898595
7893592	10.17525019
7893593	7.693977948
7893594	7.8408177960000005
7893595	2.538388397
7893596	5.63945381
7893597	3.150741618
7893598	9.528578374
7893599	7.70916183
7893600	6.287101283999999
7893601	7.9746958139999995
7893602	9.170125113
7893603	11.838488400000001
7893604	4.3649893969999995
7893605	11.64008778
7893606	4.774308136
7893607	3.441597792
7893608	5.675107207000001
7893609	8.501197058999999
7893610	4.011157143999999
7893611	4.194807691
7893612	3.4434061660000004
7893613	9.919337011
7893614	3.4434061660000004
7893615	3.150741618
7893616	7.62336937
7893617	6.355100608
7893618	5.087942405
7893619	8.921051363
7893620	3.5098502989999996
7893621	2.386252105
7893622	4.887168205
7893623	5.043552978999999
7893624	2.824380989
7893626	2.376087636
7893627	7.1807787439999995
7893628	8.685142844
7893629	2.955241768
7893630	4.94817811
7893631	5.440120649
7893632	11.9570927
7893633	10.59726994
7893634	11.87553386
7893635	2.966373033
7893636	2.701661152
7893637	7.984679806
7893638	2.137600554
7893639	9.869361422999999
7893640	7.13944208
7893641	10.09605717
7893642	11.02222909
7893644	9.995075915
7893645	5.091606228
7893646	9.440642167
7893647	11.70589402
7893648	2.029377545
7893649	9.888788256
7893650	12.09305481
7893651	8.193412666
7893652	5.104272739
7893653	8.578566591
7893654	7.189007071
7893655	3.3516866160000003
7893656	2.705111802
7893658	7.660140876
7893659	3.585016799
7893660	9.29528843
7893661	10.33554707
7893662	12.32558268
7893663	7.26090698
7893664	8.168472514
7893665	5.101165611
7893666	8.282798364
7893667	6.080303452000001
7893668	3.150741618
7893669	4.28495827
7893670	10.98505533
7893671	4.916812548999999
7893672	7.883321251
7893673	4.401884169
7893674	2.6501660730000003
7893675	9.54366682
7893676	11.0364141
7893677	12.96426835
7893678	4.009953394
7893679	3.56040269
7893681	2.771353343
7893682	7.494791351
7893683	6.481035095
7893684	9.37562321
7893685	7.5876783560000005
7893686	7.5714859379999995
7893688	3.581524738
7893689	12.29200454
7893690	7.4983304529999995
7893691	2.299919976
7893692	7.617007528999999
7893693	5.941246216000001
7893694	1.9146778930000001
7893695	7.102434337
7893696	7.578607298
7893697	7.3122738389999995
7893698	5.4938216539999996
7893699	3.9806278489999998
7893700	8.491297892999999
7893701	10.60569882
7893702	2.2310951269999997
7893703	5.943822583999999
7893704	6.66272988
7893705	9.291324684
7893706	4.5502678439999995
7893707	5.864413962
7893708	9.546040177
7893709	10.44039083
7893710	11.40432081
7893711	9.846663609
7893712	6.959717573
7893713	4.919024072
7893714	7.840177102
7893715	10.53035597
7893716	3.7759577230000003
7893717	7.127638974
7893718	6.0769607379999995
7893719	3.0692136839999997
7893720	8.723015118
7893721	6.332993988999999
7893722	6.234353216000001
7893723	4.345694138
7893724	5.4080246270000005
7893725	12.66510306
7893726	8.209411116
7893727	13.12010393
7893728	8.789268902
7893729	7.560136497
7893730	4.72822793
7893731	11.436834300000001
7893732	10.79532327
7893733	9.289889728
7893734	11.34732907
7893735	3.2035481519999998
7893736	7.4488585810000005
7893737	7.47065565
7893738	7.05014707
7893739	9.406801837
7893740	10.05500313
7893741	6.987023878
7893742	2.299919976
7893743	6.7415572589999995
7893744	8.17973962
7893745	6.55977024
7893746	2.6501660730000003
7893747	8.904927899
7893748	4.231136173
7893749	3.3283733630000003
7893750	4.824183086000001
7893751	7.384003159
7893752	7.002739582999999
7893753	2.1570601640000002
7893754	3.618312682
7893755	2.704168953
7893756	3.475312302
7893757	4.842139065
7893758	2.595537948
7893759	10.8788141
7893760	2.378347628
7893761	8.598027025
7893762	13.33493402
7893763	11.93579754
7893764	5.58630123
7893765	7.491852409
7893766	8.851997274
7893767	4.344233756
7893768	7.7228848139999995
7893769	8.150676746
7893770	4.459828733999999
7893771	5.739998592999999
7893772	5.247606618
